Latitude,Longitude,Elevation
31.77711000,35.18087000,769.0
31.77708000,35.18086000,770.0
31.77702000,35.18101000,769.0
31.77711000,35.18121000,765.0
31.77730000,35.18123000,762.0
31.77764000,35.18106000,758.0
31.77783000,35.18107000,752.0
31.77797000,35.18121000,747.0
31.77798000,35.18119000,747.0
31.77807000,35.18102000,746.0
31.77855000,35.18037000,738.0
31.77857000,35.18015000,737.0
31.77866000,35.17995000,733.0
31.77873000,35.17974000,731.0
31.77875000,35.17952000,730.0
31.77883000,35.17931000,724.0
31.77874000,35.17909000,725.0
31.77849000,35.17874000,728.0
31.77807000,35.17802000,742.0
31.77785000,35.17742000,734.0
31.77715000,35.17669000,738.0
31.77694000,35.17632000,733.0
31.77681000,35.17619000,734.0
31.77668000,35.17584000,732.0
31.77665000,35.17577000,732.0
31.77661000,35.17533000,729.0
31.77650000,35.17516000,731.0
31.77633000,35.17477000,734.0
31.77600000,35.17419000,731.0
31.77591000,35.17398000,731.0
31.77596000,35.17399000,729.0
31.77611000,35.17410000,725.0
31.77615000,35.17388000,721.0
31.77605000,35.17365000,722.0
31.77612000,35.17344000,720.0
31.77608000,35.17323000,723.0
31.77608000,35.17302000,725.0
31.77614000,35.17281000,723.0
31.77611000,35.17239000,728.0
31.77614000,35.17196000,723.0
31.77613000,35.17174000,725.0
31.77608000,35.17154000,729.0
31.77606000,35.17138000,732.0
31.77603000,35.17115000,731.0
31.77620000,35.17056000,718.0
31.77619000,35.17027000,721.0
31.77641000,35.17007000,718.0
31.77644000,35.16986000,719.0
31.77660000,35.16927000,716.0
31.77675000,35.16953000,711.0
31.77681000,35.16973000,709.0
31.77699000,35.16978000,703.0
31.77713000,35.16964000,698.0
31.77708000,35.16944000,702.0
31.77714000,35.16900000,698.0
31.77708000,35.16858000,698.0
31.77696000,35.16831000,702.0
31.77673000,35.16780000,701.0
31.77649000,35.16746000,699.0
31.77651000,35.16738000,696.0
31.77633000,35.16731000,700.0
31.77600000,35.16710000,705.0
31.77574000,35.16679000,705.0
31.77541000,35.16626000,706.0
31.77525000,35.16614000,709.0
31.77492000,35.16594000,709.0
31.77458000,35.16576000,710.0
31.77439000,35.16573000,712.0
31.77428000,35.16577000,713.0
31.77418000,35.16588000,715.0
31.77410000,35.16580000,715.0
31.77386000,35.16590000,717.0
31.77377000,35.16609000,720.0
31.77377000,35.16633000,725.0
31.77357000,35.16660000,728.0
31.77355000,35.16666000,729.0
31.77347000,35.16672000,729.0
31.77346000,35.16673000,729.0
31.77345000,35.16679000,731.0
31.77349000,35.16685000,733.0
31.77355000,35.16686000,734.0
31.77362000,35.16698000,739.0
31.77366000,35.16705000,740.0
31.77377000,35.16706000,741.0
31.77398000,35.16719000,743.0
31.77421000,35.16754000,753.0
31.77432000,35.16766000,755.0
31.77440000,35.16781000,757.0
31.77453000,35.16796000,756.0
31.77462000,35.16815000,757.0
31.77470000,35.16823000,757.0
31.77479000,35.16839000,758.0
31.77485000,35.16861000,762.0
31.77512000,35.16889000,760.0
31.77523000,35.16920000,759.0
31.77532000,35.16932000,757.0
31.77550000,35.16981000,756.0
31.77543000,35.17012000,762.0
31.77542000,35.17034000,760.0
31.77531000,35.17107000,756.0
31.77531000,35.17136000,755.0
31.77540000,35.17174000,754.0
31.77539000,35.17204000,754.0
31.77549000,35.17262000,750.0
31.77547000,35.17298000,754.0
31.77546000,35.17307000,755.0
31.77531000,35.17360000,765.0
31.77530000,35.17383000,762.0
31.77531000,35.17408000,760.0
31.77541000,35.17444000,761.0
31.77548000,35.17454000,761.0
31.77562000,35.17464000,759.0
31.77562000,35.17489000,766.0
31.77568000,35.17506000,768.0
31.77583000,35.17535000,763.0
31.77585000,35.17546000,762.0
31.77584000,35.17594000,762.0
31.77590000,35.17641000,766.0
31.77598000,35.17659000,767.0
31.77617000,35.17690000,765.0
31.77631000,35.17724000,770.0
31.77653000,35.17743000,773.0
31.77666000,35.17748000,769.0
31.77682000,35.17761000,769.0
31.77721000,35.17785000,765.0
31.77723000,35.17787000,765.0
31.77745000,35.17808000,763.0
31.77756000,35.17842000,769.0
31.77756000,35.17856000,773.0
31.77763000,35.17880000,776.0
31.77763000,35.17889000,779.0
31.77767000,35.17899000,778.0
31.77767000,35.17910000,779.0
31.77761000,35.17908000,782.0
31.77760000,35.17912000,782.0
31.77766000,35.17932000,782.0
31.77763000,35.17961000,782.0
31.77747000,35.17987000,786.0
31.77735000,35.18011000,786.0
31.77723000,35.18025000,786.0
31.77708000,35.18029000,787.0
31.77706000,35.18044000,782.0
31.77700000,35.18052000,779.0
31.77692000,35.18055000,780.0
31.77684000,35.18062000,781.0
31.77671000,35.18064000,786.0
31.77667000,35.18070000,787.0
31.77667000,35.18086000,785.0
31.77676000,35.18100000,780.0
31.77684000,35.18104000,775.0
31.77688000,35.18110000,773.0
31.77693000,35.18109000,770.0
31.77695000,35.18099000,770.0
31.77699000,35.18093000,770.0
31.77710000,35.18080000,771.0
31.77708000,35.18086000,770.0
31.77711000,35.18087000,769.0
